team_id,code,hex_bg,hex_text,hex_ol,team_name,status,league,division,w,l,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,x,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p,13p,14p,15p,16p,17p,18p,19p,20p,21p,22p,23p,24p,25p,26p,27p,28p,29p,30p,31p,32p,33p,xp,1avg,2avg,3avg,4avg,5avg,6avg,7avg,8avg,9avg,10avg,11avg,12avg,13avg,14avg,15avg,16avg,17avg,18avg,19avg,20avg,21avg,22avg,23avg,24avg,25avg,26avg,27avg,28avg,29avg,30avg,31avg,32avg,33avg,xavg,runs,runs_adj,center_of_gravity
144,atl,0C2340,FFFFFF,BD0E2A,Atlanta Braves,Away,National,East,16,7,11.0,24.0,11.0,16.0,22.0,13.0,6.0,10.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4782608695652174,1.0434782608695652,0.4782608695652174,0.6956521739130435,0.9565217391304348,0.5652173913043478,0.2608695652173913,0.43478260869565216,1.0434782608695652,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,682.0,4.978102189781022
144,atl,0C2340,FFFFFF,BD0E2A,Atlanta Braves,Total,National,East,28,13,21.0,36.0,20.0,28.0,28.0,25.0,14.0,23.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,31.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5121951219512195,0.8780487804878049,0.4878048780487805,0.6829268292682927,0.6829268292682927,0.6097560975609756,0.34146341463414637,0.5609756097560976,1.032258064516129,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,228.0,1135.0,4.978070175438597
146,mia,000000,00A3E0,EF3340,Miami Marlins,Home,National,East,14,12,21.0,12.0,11.0,16.0,6.0,10.0,10.0,23.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8076923076923077,0.46153846153846156,0.4230769230769231,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.35714285714285715,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,116.0,551.0,4.75
146,mia,000000,00A3E0,EF3340,Miami Marlins,Away,National,East,5,10,8.0,10.0,2.0,10.0,9.0,5.0,1.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5333333333333333,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6,0.3333333333333333,0.06666666666666667,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,279.0,4.65
146,mia,000000,00A3E0,EF3340,Miami Marlins,Total,National,East,19,22,29.0,22.0,13.0,26.0,15.0,15.0,11.0,35.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,29.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.7073170731707317,0.5365853658536586,0.3170731707317073,0.6341463414634146,0.36585365853658536,0.36585365853658536,0.2682926829268293,0.8536585365853658,0.27586206896551724,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,176.0,830.0,4.715909090909091
121,nym,002D72,FC4D03,,New York Mets,Home,National,East,6,12,13.0,6.0,7.0,10.0,8.0,6.0,1.0,8.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,6.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,14.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.7222222222222222,0.3333333333333333,0.3888888888888889,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.05555555555555555,0.4444444444444444,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.5,65.0,296.0,4.553846153846154
121,nym,002D72,FC4D03,,New York Mets,Away,National,East,9,13,6.0,13.0,1.0,8.0,8.0,15.0,7.0,9.0,5.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.2727272727272727,0.5909090909090909,0.045454545454545456,0.36363636363636365,0.36363636363636365,0.6818181818181818,0.3181818181818182,0.4090909090909091,0.22727272727272727,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.4,74.0,383.0,5.175675675675675
121,nym,002D72,FC4D03,,New York Mets,Total,National,East,15,25,19.0,19.0,8.0,18.0,16.0,21.0,8.0,17.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,8.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,9.0,0.475,0.475,0.2,0.45,0.4,0.525,0.2,0.425,0.1388888888888889,0.7142857142857143,1.5,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,139.0,679.0,4.884892086330935
143,phi,D41244,FCFEFC,,Philadelphia Phillies,Home,National,East,12,12,16.0,8.0,13.0,4.0,15.0,16.0,7.0,19.0,9.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,15.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.6666666666666666,0.3333333333333333,0.5416666666666666,0.16666666666666666,0.625,0.6666666666666666,0.2916666666666667,0.7916666666666666,0.6,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,0.6,110.0,570.0,5.181818181818182
143,phi,D41244,FCFEFC,,Philadelphia Phillies,Away,National,East,7,10,15.0,5.0,5.0,5.0,6.0,1.0,11.0,6.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.8823529411764706,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.35294117647058826,0.058823529411764705,0.6470588235294118,0.35294117647058826,0.11764705882352941,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,60.0,279.0,4.65
